"ID","DIVISION_NAME","LOCATION_DESCRIPTION","TYPE","long","lat","OBJECT","nn"
"TABL2191","WRIGHT","PORTER STREET NEIGHBOURHOOD PARK","METAL",149.028338219916,-35.311111125263,"Table",1
"TABL2192","WRIGHT","ALEX COLLEY CRESCENT PEDESTRIAN PARKLAND","METAL",149.030439559693,-35.3116374170192,"Table",1
"TABL2185","TAYLOR","DEVENISH STREET NEIGHBOURHOOD PARK","METAL",149.105569510859,-35.1467018452582,"Table",1
"TABL2186","TAYLOR","DEVENISH STREET NEIGHBOURHOOD PARK","METAL",149.105525152092,-35.1466829750789,"Table",1
"TABL2247","TORRENS","TORRENS PLACE PEDESTRIAN PARKLAND","PLASTIC",149.088062933301,-35.3730042863708,"Table",1
"TABL2236","ACTON","HENRY ROLLAND PARK","METAL",149.126427695311,-35.2899003670457,"Table",1
"TABL2237","ACTON","HENRY ROLLAND PARK","TIMBER",149.126529009768,-35.2899080634256,"Table",1
"TABL2238","ACTON","HENRY ROLLAND PARK","TIMBER",149.126578552036,-35.2899348958205,"Table",1
"TABL2239","ACTON","HENRY ROLLAND PARK","TIMBER",149.126595668974,-35.2899824568052,"Table",1
"TABL2240","HUME","PASPALEY STREET PEDESTRIAN PARKLAND","METAL",149.157442209653,-35.4047780348318,"Table",1
"TABL2248","WHITLAM","MAYMURU WAY NEIGHBOURHOOD PARK","TIMBER",149.043080002276,-35.2718223447229,"Table",1
"TABL2245","GUNGAHLIN","GUNGAHLIN PLACE","TIMBER",149.134947443454,-35.1853354010644,"Table",1
"TABL433","PHILLIP","PHILLIP TOWN CENTRE","TIMBER",149.089006906346,-35.3521535961924,"Table",1
"TABL434","PHILLIP","PHILLIP TOWN CENTRE","TIMBER",149.08904136672,-35.3521488669981,"Table",1
"TABL571","ACTON","GARRYOWEN DRIVE","PLASTIC",149.101323802824,-35.2872236557916,"Table",1
"TABL885","FRANKLIN","CHARLOTTE BARTON STREET NEIGHBOURHOOD PARK","METAL",149.141519677686,-35.2057082028238,"Table",1
"TABL886","FRANKLIN","CHARLOTTE BARTON STREET NEIGHBOURHOOD PARK","METAL",149.141563487859,-35.2057086049888,"Table",1
"TABL884","FRANKLIN","GUNGAHLIN DRIVE PEDESTRIAN PARKLAND","METAL",149.13536873726,-35.2042388007184,"Table",1
"TABL590","BELCONNEN","JOHN KNIGHT MEMORIAL PARK","METAL",149.074169053337,-35.2351915045849,"Table",1
"TABL591","BELCONNEN","JOHN KNIGHT MEMORIAL PARK","METAL",149.07422218319,-35.2352512338115,"Table",1
"TABL592","BELCONNEN","JOHN KNIGHT MEMORIAL PARK","METAL",149.073993763317,-35.2351981822859,"Table",1
"TABL611","MELBA","MELBA SHOPPING CENTRE","PLASTIC",149.048783144399,-35.2083147634235,"Table",1
"TABL610","MELBA","MELBA SHOPPING CENTRE","PLASTIC",149.048778567555,-35.2083893000013,"Table",1
"TABL1032","CASEY","WHITROD AVENUE NEIGHBOUHOOD PARK","METAL",149.099362605436,-35.1597768882661,"Table",1
"TABL1033","CASEY","WHITROD AVENUE NEIGHBOUHOOD PARK","METAL",149.09922831852,-35.1599160679166,"Table",1
"TABL2071","COOMBS","FRED DALEY AVENUE ROAD MEDIAN","METAL",149.039896762149,-35.3171109850693,"Table",1
"TABL2072","COOMBS","FRED DALEY AVENUE ROAD MEDIAN","METAL",149.041272878467,-35.3153860769764,"Table",1
