"DIVISION_NAME","skate_n"
"BARTON",1
"BELCONNEN",1
"CAMPBELL",1
"CHARNWOOD",1
"CITY",1
"CONDER",1
"FADDEN",1
"FLYNN",1
"FRANKLIN",1
"GREENWAY",1
"GUNGAHLIN",2
"HOLT",1
"KAMBAH",1
"MACARTHUR",1
"PHILLIP",1
"RICHARDSON",1
"RIVETT",1
"STIRLING",1
"WANNIASSA",1
"WESTON",1
"WHITLAM",1
