"stopID","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","wheelchair_boarding","index","dist","ID","DIVISION_CODE","DIVISION_NAME","LAST_UPDATE_DATE","OBJECTID"
201,NA,"Fremantle Dr after 1st McKail Cr",-35.347043,149.047943,NA,"",0,0,92,0,95,448,"STIRLING","1999/02/19 09:46:25+00",92
300,NA,"Ainslie PS Donaldson St",-35.27362,149.140829,NA,"",0,0,40,0,38,106,"BRADDON","1999/02/19 09:45:39+00",40
401,NA,"MacFarlane Burnet Av after 1st Eccles Cct",-35.21606,149.00305,NA,"",0,0,29,0,595,569,"MACGREGOR","2007/05/03 14:56:29+00",29
402,NA,"MacFarlane Burnet Av before Hollows Cct",-35.212836,149.004189,NA,"",0,0,29,0,595,569,"MACGREGOR","2007/05/03 14:56:29+00",29
403,NA,"MacFarlane Burnet Av after Hollows Cct",-35.212665,149.004016,NA,"",0,0,29,0,595,569,"MACGREGOR","2007/05/03 14:56:29+00",29
404,NA,"MacFarlane Burnet Av before De Gruchy Pl",-35.2162,149.003141,NA,"",0,0,29,0,595,569,"MACGREGOR","2007/05/03 14:56:29+00",29
405,NA,"MacFarlane Burnet Av after Constance Stone St",-35.209343,149.00322,NA,"",0,0,29,0,595,569,"MACGREGOR","2007/05/03 14:56:29+00",29
406,NA,"MacFarlane Burnet Av opp Constance Stone St",-35.209295,149.002975,NA,"",0,0,29,0,595,569,"MACGREGOR","2007/05/03 14:56:29+00",29
600,NA,"O'Hanlon Pl after Gold Creek Rd",-35.192122,149.08597,NA,"",0,0,63,0,63,708,"NICHOLLS","1999/02/19 09:48:35+00",63
601,NA,"O'Hanlon Pl before Gold Creek Rd",-35.192143,149.08607,NA,"",0,0,63,0,63,708,"NICHOLLS","1999/02/19 09:48:35+00",63
1001,NA,"Drumston St opp MacKillop College",-35.426112,149.091607,NA,"",0,0,79,0,82,612,"ISABELLA PLAINS","1999/02/19 09:47:44+00",79
1002,NA,"Mackillop College Drumston St",-35.425974,149.091709,NA,"",0,0,79,0,82,612,"ISABELLA PLAINS","1999/02/19 09:47:44+00",79
1007,NA,"Ellerston Av opp Isabella Plains Shops",-35.427862,149.091027,NA,"",0,0,79,0,82,612,"ISABELLA PLAINS","1999/02/19 09:47:44+00",79
1008,NA,"Isabella Plains Shops Ellerston Av",-35.427477,149.09142,NA,"",0,0,79,0,82,612,"ISABELLA PLAINS","1999/02/19 09:47:44+00",79
1009,NA,"Mackillop College Ellerston Av",-35.425654,149.095483,NA,"",0,0,79,0,82,612,"ISABELLA PLAINS","1999/02/19 09:47:44+00",79
1010,NA,"Ellerston Av opp Mackillop College",-35.425764,149.095466,NA,"",0,0,79,0,82,612,"ISABELLA PLAINS","1999/02/19 09:47:44+00",79
1011,NA,"Ellerston Av before 1st Abercorn Cr",-35.426368,149.098008,NA,"",0,0,79,0,82,612,"ISABELLA PLAINS","1999/02/19 09:47:44+00",79
1012,NA,"Ellerston Av opp 2nd Abercorn Cr",-35.426603,149.098114,NA,"",0,0,79,0,82,612,"ISABELLA PLAINS","1999/02/19 09:47:44+00",79
1013,NA,"Ellerston Av before 2nd Abercorn Cr",-35.428486,149.100623,NA,"",0,0,79,0,82,612,"ISABELLA PLAINS","1999/02/19 09:47:44+00",79
1014,NA,"Ellerston Av before 2nd Groveland Cr",-35.428391,149.10036,NA,"",0,0,79,0,82,612,"ISABELLA PLAINS","1999/02/19 09:47:44+00",79
1015,NA,"Ellerston Av before Ashley Dr",-35.42879,149.102889,NA,"",0,0,79,0,82,612,"ISABELLA PLAINS","1999/02/19 09:47:44+00",79
1016,NA,"Ellerston Av after Ashley Dr",-35.428922,149.102838,NA,"",0,0,79,0,82,612,"ISABELLA PLAINS","1999/02/19 09:47:44+00",79
1017,NA,"Calwell Shops Webber Cr",-35.435094,149.113745,NA,"",0,0,72,0,74,611,"CALWELL","1999/02/19 09:47:44+00",72
1018,NA,"Boddington Cr after Bacchus Cct",-35.379387,149.054883,NA,"",0,0,80,0,83,601,"KAMBAH","1999/02/19 09:47:44+00",80
1019,NA,"Casey Cr before Carpenter Cl",-35.436661,149.11129,NA,"",0,0,72,0,74,611,"CALWELL","1999/02/19 09:47:44+00",72
1020,NA,"Casey Cr opp Carpenter Cl",-35.436859,149.110846,NA,"",0,0,72,0,74,611,"CALWELL","1999/02/19 09:47:44+00",72
1027,NA,"Duggan St after Downard St",-35.439864,149.098624,NA,"",0,0,72,0,74,611,"CALWELL","1999/02/19 09:47:44+00",72
1028,NA,"Duggan St after Beckett St",-35.439836,149.098479,NA,"",0,0,72,0,74,611,"CALWELL","1999/02/19 09:47:44+00",72
1029,NA,"Duggan St before 1st Pennington Cr",-35.441602,149.100907,NA,"",0,0,72,0,74,611,"CALWELL","1999/02/19 09:47:44+00",72
1030,NA,"Duggan St before 2nd Andrew Cr",-35.441603,149.101116,NA,"",0,0,72,0,74,611,"CALWELL","1999/02/19 09:47:44+00",72
1031,NA,"Tharwa Dr after Duggan St",-35.444823,149.10572,NA,"",0,0,72,0,74,611,"CALWELL","1999/02/19 09:47:44+00",72
1032,NA,"Tharwa Dr before Duggan St",-35.444455,149.103996,NA,"",0,0,72,0,74,611,"CALWELL","1999/02/19 09:47:44+00",72
1033,NA,"Lawrence Wackett Cr opp Theodore PS",-35.447275,149.124613,NA,"",0,0,85,0,88,610,"THEODORE","1999/02/19 09:47:44+00",85
1034,NA,"Theodore PS Lawrence Wackett Cr",-35.447346,149.124487,NA,"",0,0,85,0,88,610,"THEODORE","1999/02/19 09:47:44+00",85
1035,NA,"Lawrence Wackett Cr after 1st Burdett Cr",-35.449867,149.122566,NA,"",0,0,85,0,88,610,"THEODORE","1999/02/19 09:47:44+00",85
1036,NA,"Lawrence Wackett Cr before Chippindall Cct",-35.450002,149.122491,NA,"",0,0,85,0,88,610,"THEODORE","1999/02/19 09:47:44+00",85
1037,NA,"Chippindall Cct opp Goldfinch Cct",-35.450823,149.120097,NA,"",0,0,85,0,88,610,"THEODORE","1999/02/19 09:47:44+00",85
1038,NA,"Chippindall Cct after Latchford St",-35.45072,149.120304,NA,"",0,0,85,0,88,610,"THEODORE","1999/02/19 09:47:44+00",85
1044,NA,"Hurtle Av after 1st Noarlunga Cr",-35.434802,149.086149,NA,"",0,0,71,0,73,619,"BONYTHON","1999/02/19 09:47:44+00",71
1045,NA,"Hurtle Av opp 2nd Noarlunga Cr",-35.434726,149.085969,NA,"",0,0,71,0,73,619,"BONYTHON","1999/02/19 09:47:44+00",71
1046,NA,"Barr Smith Av after Salas St",-35.42673,149.074178,NA,"",0,0,71,0,73,619,"BONYTHON","1999/02/19 09:47:44+00",71
1047,NA,"Barr Smith Av after Don Dunstan Dr",-35.426899,149.074185,NA,"",0,0,71,0,73,619,"BONYTHON","1999/02/19 09:47:44+00",71
1052,NA,"Barr Smith Av opp Hurtle Av",-35.431101,149.080008,NA,"",0,0,71,0,73,619,"BONYTHON","1999/02/19 09:47:44+00",71
1053,NA,"Barr Smith Av after Hurtle Av",-35.431263,149.08006,NA,"",0,0,71,0,73,619,"BONYTHON","1999/02/19 09:47:44+00",71
1054,NA,"Hurtle Av opp Ebenezer St",-35.434405,149.083587,NA,"",0,0,71,0,73,619,"BONYTHON","1999/02/19 09:47:44+00",71
1055,NA,"Hurtle Av after Ebenezer St",-35.433937,149.082881,NA,"",0,0,71,0,73,619,"BONYTHON","1999/02/19 09:47:44+00",71
1056,NA,"Hurtle Av opp Bonython PS",-35.432126,149.08231,NA,"",0,0,71,0,73,619,"BONYTHON","1999/02/19 09:47:44+00",71
1057,NA,"Bonython PS Hurtle Av",-35.431441,149.082295,NA,"",0,0,71,0,73,619,"BONYTHON","1999/02/19 09:47:44+00",71
1059,NA,"Homeworld Soward Way",-35.418682,149.067883,NA,"",0,0,78,0,81,615,"GREENWAY","1999/02/19 09:47:44+00",78
1060,NA,"Boddington Cr before Reynell Pl",-35.379517,149.055117,NA,"",0,0,80,0,83,601,"KAMBAH","1999/02/19 09:47:44+00",80
1061,NA,"Soward Way after Anketell St",-35.417271,149.070695,NA,"",0,0,78,0,81,615,"GREENWAY","1999/02/19 09:47:44+00",78
1062,NA,"Soward Way before Anketell St",-35.417379,149.070745,NA,"",0,0,78,0,81,615,"GREENWAY","1999/02/19 09:47:44+00",78
1063,NA,"Tuggeranong Bus Depot Scollay St",-35.422657,149.06973,NA,"",0,0,78,0,81,615,"GREENWAY","1999/02/19 09:47:44+00",78
1064,NA,"Scollay St opp Tuggeranong Bus Depot",-35.421808,149.069227,NA,"",0,0,78,0,81,615,"GREENWAY","1999/02/19 09:47:44+00",78
1065,NA,"Anketell St before Oakden St",-35.422697,149.072912,NA,"",0,0,78,0,81,615,"GREENWAY","1999/02/19 09:47:44+00",78
1066,NA,"Anketell St before Athllon Dr",-35.423711,149.07387,NA,"",0,0,78,0,81,615,"GREENWAY","1999/02/19 09:47:44+00",78
1067,NA,"Anketell St opp Tuggeranong Square",-35.419798,149.070847,NA,"",0,0,78,0,81,615,"GREENWAY","1999/02/19 09:47:44+00",78
1068,NA,"Tuggeranong Square Anketell St",-35.419976,149.070832,NA,"",0,0,78,0,81,615,"GREENWAY","1999/02/19 09:47:44+00",78
1069,NA,"Ellerston Av before Noorooma St",-35.430392,149.08816,NA,"",0,0,79,0,82,612,"ISABELLA PLAINS","1999/02/19 09:47:44+00",79
1070,NA,"Ellerston Av opp Noorooma St",-35.430127,149.088257,NA,"",0,0,79,0,82,612,"ISABELLA PLAINS","1999/02/19 09:47:44+00",79
1071,NA,"Ellerston Av after Keverstone Cct",-35.431594,149.088799,NA,"",0,0,79,0,82,612,"ISABELLA PLAINS","1999/02/19 09:47:44+00",79
