"CREATED_DATE","SPECIES","LATITUDE","LONGITUDE","index","dist","ID","DIVISION_CODE","DIVISION_NAME","LAST_UPDATE_DATE","OBJECTID","date","hour","moment","month","day","year","month_word","day_word","week","time_hour","pod","speciesGroup"
"01/01/2020 08:33:00 PM","WALLAROO",-35.60069018,149.0525573,70,12578.8551149802,71,659,"THARWA","1999/02/19 09:47:44+00",70,"01/01/2020","08:33:00","PM",1,1,2020,"January","Wednesday",1,20,"Evening","Mammal"
"12/18/2019 06:16:00 AM","EASTERN GREY KANGAROO",-35.21664613,149.183128,69,1729.1158752163,70,125,"WATSON","1999/02/19 09:45:39+00",69,"12/18/2019","06:16:00","AM",12,18,2019,"December","Wednesday",51,6,"Dawn","Mammal"
"08/02/2016 08:48:00 AM","EASTERN GREY KANGAROO",-35.42613524,149.1390806,73,37.9325862894045,75,609,"CHISHOLM","1999/02/19 09:47:44+00",73,"08/02/2016","08:48:00","AM",8,2,2016,"August","Tuesday",31,8,"Morning","Mammal"
"07/15/2018 10:57:00 AM","EASTERN GREY KANGAROO",-35.43370462,149.092732,79,0,82,612,"ISABELLA PLAINS","1999/02/19 09:47:44+00",79,"07/15/2018","10:57:00","AM",7,15,2018,"July","Sunday",29,10,"Morning","Mammal"
"04/12/2016 08:37:00 AM","OTHER",-35.37357085,149.0387976,80,3.14295345498634,83,601,"KAMBAH","1999/02/19 09:47:44+00",80,"04/12/2016","08:37:00","AM",4,12,2016,"April","Tuesday",15,8,"Morning","Other"
"11/27/2019 08:50:00 AM","WALLAROO",-35.21250032,149.0981991,22,0,20,552,"GIRALANG","1999/02/19 09:47:11+00",22,"11/27/2019","08:50:00","AM",11,27,2019,"November","Wednesday",48,8,"Morning","Mammal"
"12/30/2020 11:57:00 AM","EASTERN GREY KANGAROO",-35.36398882,149.0963215,102,0,706,333,"MAWSON","2018/10/24 10:28:48+00",102,"12/30/2020","11:57:00","AM",12,30,2020,"December","Wednesday",53,11,"Noon","Mammal"
"11/18/2020 05:51:00 AM","EASTERN GREY KANGAROO",-35.33909258,149.172916,67,0,326,803,"SYMONSTON","2010/10/20 12:10:54+00",67,"11/18/2020","05:51:00","AM",11,18,2020,"November","Wednesday",47,5,"Dawn","Mammal"
"05/06/2016 07:11:00 AM","EASTERN GREY KANGAROO",-35.43589118,149.1242259,84,0,87,607,"RICHARDSON","1999/02/19 09:47:44+00",84,"05/06/2016","07:11:00","AM",5,6,2016,"May","Friday",19,7,"Morning","Mammal"
"01/12/2016 01:01:00 PM","EASTERN GREY KANGAROO",-35.31925604,149.1135293,44,0,42,215,"DEAKIN","1999/02/19 09:46:25+00",44,"01/12/2016","01:01:00","PM",1,12,2016,"January","Tuesday",2,13,"Noon","Mammal"
"01/22/2019 08:08:00 AM","EASTERN GREY KANGAROO",-35.18938252,149.1378904,61,0,592,710,"GUNGAHLIN","2017/11/29 10:17:46+00",61,"01/22/2019","08:08:00","AM",1,22,2019,"January","Tuesday",4,8,"Morning","Mammal"
"09/30/2020 01:34:00 PM","EASTERN GREY KANGAROO",-35.2453741,148.9808651,118,264.526399352968,712,581,"STRATHNAIRN","2020/03/20 13:57:41+00",118,"09/30/2020","01:34:00","PM",9,30,2020,"September","Wednesday",40,13,"Noon","Mammal"
"07/24/2020 12:43:00 PM","EASTERN GREY KANGAROO",-35.3297408,149.0633551,96,0,99,328,"CURTIN","1999/02/19 09:46:25+00",96,"07/24/2020","12:43:00","PM",7,24,2020,"July","Friday",30,24,"Mid-Night","Mammal"
"09/03/2017 12:10:00 PM","EASTERN GREY KANGAROO",-35.23164368,149.1547291,69,0,70,125,"WATSON","1999/02/19 09:45:39+00",69,"09/03/2017","12:10:00","PM",9,3,2017,"September","Sunday",36,24,"Mid-Night","Mammal"
"10/18/2017 07:45:00 AM","EASTERN GREY KANGAROO",-35.42206827,149.1432038,76,63.035439118767,78,608,"GILMORE","1999/02/19 09:47:44+00",76,"10/18/2017","07:45:00","AM",10,18,2017,"October","Wednesday",42,7,"Morning","Mammal"
"05/13/2018 11:52:00 AM","WALLAROO",-35.25193805,149.111777,54,0,52,103,"O'CONNOR","1999/02/19 09:45:39+00",54,"05/13/2018","11:52:00","AM",5,13,2018,"May","Sunday",20,11,"Noon","Mammal"
"09/28/2017 11:07:00 AM","EASTERN GREY KANGAROO",-35.38888107,149.126543,75,798.510887181871,77,605,"FADDEN","1999/02/19 09:47:44+00",75,"09/28/2017","11:07:00","AM",9,28,2017,"September","Thursday",40,11,"Noon","Mammal"
"02/03/2020 08:05:00 AM","EASTERN GREY KANGAROO",-35.4596877,149.0912046,74,0,123,613,"CONDER","2002/03/14 12:03:58+00",74,"02/03/2020","08:05:00","AM",2,3,2020,"February","Monday",6,8,"Morning","Mammal"
"09/22/2018 12:25:00 PM","EASTERN GREY KANGAROO",-35.2299858,149.1696738,69,0,70,125,"WATSON","1999/02/19 09:45:39+00",69,"09/22/2018","12:25:00","PM",9,22,2018,"September","Saturday",39,24,"Mid-Night","Mammal"
"06/19/2019 08:28:00 AM","EASTERN GREY KANGAROO",-35.33687601,149.1747562,48,0,46,219,"FYSHWICK","1999/02/19 09:46:25+00",48,"06/19/2019","08:28:00","AM",6,19,2019,"June","Wednesday",25,8,"Morning","Mammal"
"10/02/2019 08:43:00 PM","EASTERN GREY KANGAROO",-35.44331323,149.0935035,14,0,79,616,"GORDON","1999/02/19 09:47:44+00",14,"10/02/2019","08:43:00","PM",10,2,2019,"October","Wednesday",40,20,"Evening","Mammal"
"08/04/2016 07:29:00 AM","EASTERN GREY KANGAROO",-35.2149966,149.1858876,69,2185.59381183164,70,125,"WATSON","1999/02/19 09:45:39+00",69,"08/04/2016","07:29:00","AM",8,4,2016,"August","Thursday",32,7,"Morning","Mammal"
"06/21/2018 02:05:00 PM","EASTERN GREY KANGAROO",-35.40377325,149.0750223,83,0,86,623,"OXLEY","1999/02/19 09:47:44+00",83,"06/21/2018","02:05:00","PM",6,21,2018,"June","Thursday",25,14,"Afternoon","Mammal"
"11/06/2016 10:48:00 AM","EASTERN GREY KANGAROO",-35.26909238,149.0718668,18,559.004220034453,14,557,"COOK","1999/02/19 09:47:11+00",18,"11/06/2016","10:48:00","AM",11,6,2016,"November","Sunday",45,10,"Morning","Mammal"
"10/15/2019 11:10:00 AM","EASTERN GREY KANGAROO",-35.32689001,149.0896829,99,0,102,327,"HUGHES","1999/02/19 09:46:25+00",99,"10/15/2019","11:10:00","AM",10,15,2019,"October","Tuesday",42,11,"Noon","Mammal"
"07/11/2018 03:58:00 PM","EASTERN GREY KANGAROO",-35.35397895,149.1872719,67,317.229821884123,326,803,"SYMONSTON","2010/10/20 12:10:54+00",67,"07/11/2018","03:58:00","PM",7,11,2018,"July","Wednesday",28,15,"Afternoon","Mammal"
"09/09/2017 09:20:00 AM","EASTERN GREY KANGAROO",-35.25121742,149.0262751,23,542.567605415485,21,563,"HAWKER","1999/02/19 09:47:11+00",23,"09/09/2017","09:20:00","AM",9,9,2017,"September","Saturday",37,9,"Morning","Mammal"
"06/10/2016 01:40:00 PM","EASTERN GREY KANGAROO",-35.19695829,149.092776,63,0,63,708,"NICHOLLS","1999/02/19 09:48:35+00",63,"06/10/2016","01:40:00","PM",6,10,2016,"June","Friday",24,13,"Noon","Mammal"
"07/06/2016 11:46:00 AM","EASTERN GREY KANGAROO",-35.39312966,149.0437954,80,0,83,601,"KAMBAH","1999/02/19 09:47:44+00",80,"07/06/2016","11:46:00","AM",7,6,2016,"July","Wednesday",28,11,"Noon","Mammal"
"06/29/2020 07:24:00 AM","EASTERN GREY KANGAROO",-35.17208664,149.1177999,62,0,668,706,"NGUNNAWAL","2013/06/20 13:16:24+00",62,"06/29/2020","07:24:00","AM",6,29,2020,"June","Monday",27,7,"Morning","Mammal"
"09/15/2017 10:29:00 AM","EASTERN GREY KANGAROO",-35.27929069,149.0869015,60,1474.6478160213,58,212,"YARRALUMLA","1999/02/19 09:46:25+00",60,"09/15/2017","10:29:00","AM",9,15,2017,"September","Friday",38,10,"Morning","Mammal"
"10/01/2017 09:23:00 AM","EASTERN GREY KANGAROO",-35.20477969,149.0660742,35,0,33,576,"SPENCE","1999/02/19 09:47:11+00",35,"10/01/2017","09:23:00","AM",10,1,2017,"October","Sunday",40,9,"Morning","Mammal"
"05/21/2016 09:02:00 AM","SWAMP WALLABY",-35.28193685,149.0860914,60,1211.98162359271,58,212,"YARRALUMLA","1999/02/19 09:46:25+00",60,"05/21/2016","09:02:00","AM",5,21,2016,"May","Saturday",21,9,"Morning","Mammal"
"09/27/2018 08:27:00 AM","EASTERN GREY KANGAROO",-35.3807731,149.0781262,80,7.67265265352083,83,601,"KAMBAH","1999/02/19 09:47:44+00",80,"09/27/2018","08:27:00","AM",9,27,2018,"September","Thursday",39,8,"Morning","Mammal"
"10/16/2016 08:35:00 AM","EASTERN GREY KANGAROO",-35.38871715,149.1299689,75,1222.34503499476,77,605,"FADDEN","1999/02/19 09:47:44+00",75,"10/16/2016","08:35:00","AM",10,16,2016,"October","Sunday",42,8,"Morning","Mammal"
"05/08/2018 11:15:00 PM","EASTERN GREY KANGAROO",-35.39775812,149.189266,12,2426.74588129234,66,802,"HUME","1999/02/19 09:49:11+00",12,"05/08/2018","11:15:00","PM",5,8,2018,"May","Tuesday",19,23,"Night","Mammal"
"01/24/2020 07:30:00 AM","EASTERN GREY KANGAROO",-35.3504958,149.1017087,98,0,101,330,"GARRAN","1999/02/19 09:46:25+00",98,"01/24/2020","07:30:00","AM",1,24,2020,"January","Friday",4,7,"Morning","Mammal"
"09/29/2018 01:21:00 PM","EASTERN GREY KANGAROO",-35.31231283,149.0865008,60,0,58,212,"YARRALUMLA","1999/02/19 09:46:25+00",60,"09/29/2018","01:21:00","PM",9,29,2018,"September","Saturday",40,13,"Noon","Mammal"
"08/05/2018 06:50:00 PM","EASTERN GREY KANGAROO",-35.3406569,149.1001328,98,0,101,330,"GARRAN","1999/02/19 09:46:25+00",98,"08/05/2018","06:50:00","PM",8,5,2018,"August","Sunday",32,18,"Evening","Mammal"
"09/15/2016 08:17:00 PM","EASTERN GREY KANGAROO",-35.4434445,149.0968397,72,0,74,611,"CALWELL","1999/02/19 09:47:44+00",72,"09/15/2016","08:17:00","PM",9,15,2016,"September","Thursday",38,20,"Evening","Mammal"
"10/21/2019 08:10:00 AM","EASTERN GREY KANGAROO",-35.35340208,149.1121599,103,0,707,335,"O'MALLEY","2018/05/11 09:45:26+00",103,"10/21/2019","08:10:00","AM",10,21,2019,"October","Monday",43,8,"Morning","Mammal"
"07/05/2020 10:44:00 PM","EASTERN GREY KANGAROO",-35.35968067,149.0684023,89,20.086316935509,92,443,"FISHER","1999/02/19 09:46:25+00",89,"07/05/2020","10:44:00","PM",7,5,2020,"July","Sunday",27,22,"Night","Mammal"
"11/24/2017 01:52:00 AM","EASTERN GREY KANGAROO",-35.38306665,149.1674451,12,0,66,802,"HUME","1999/02/19 09:49:11+00",12,"11/24/2017","01:52:00","AM",11,24,2017,"November","Friday",48,1,"Before-Dawn","Mammal"
"08/02/2019 12:33:00 PM","EASTERN GREY KANGAROO",-35.31518513,149.0335223,1,0,644,911,"COOMBS","2011/09/19 08:51:25+00",1,"08/02/2019","12:33:00","PM",8,2,2019,"August","Friday",31,24,"Mid-Night","Mammal"
"02/25/2017 07:22:00 AM","EASTERN GREY KANGAROO",-35.38132294,149.1428134,12,1646.71518296574,66,802,"HUME","1999/02/19 09:49:11+00",12,"02/25/2017","07:22:00","AM",2,25,2017,"February","Saturday",9,7,"Morning","Mammal"
"02/12/2019 03:05:00 PM","EASTERN GREY KANGAROO",-35.20883585,149.1731134,112,1384.55055387644,638,711,"HARRISON","2010/08/26 11:15:04+00",112,"02/12/2019","03:05:00","PM",2,12,2019,"February","Tuesday",7,15,"Afternoon","Mammal"
"03/19/2017 01:07:00 PM","EASTERN GREY KANGAROO",-35.19648333,149.0724258,35,230.598899869062,33,576,"SPENCE","1999/02/19 09:47:11+00",35,"03/19/2017","01:07:00","PM",3,19,2017,"March","Sunday",12,13,"Noon","Mammal"
"05/29/2020 02:40:00 PM","EASTERN GREY KANGAROO",-35.3444893,149.2095206,116,0,642,804,"BEARD","2010/10/20 12:10:54+00",116,"05/29/2020","02:40:00","PM",5,29,2020,"May","Friday",22,14,"Afternoon","Mammal"
"06/30/2016 10:19:00 AM","WOMBAT",-35.38162541,149.177301,12,0,66,802,"HUME","1999/02/19 09:49:11+00",12,"06/30/2016","10:19:00","AM",6,30,2016,"June","Thursday",27,10,"Morning","Mammal"
